description	gene
Regulation of translation GO:0006417	csrA
Regulation of translation GO:0006417	thyA
Regulation of translation GO:0006417	prfB
Regulation of translation GO:0006417	rpsO
Regulation of translation GO:0006417	infB
Regulation of translation GO:0006417	rplM
Regulation of translation GO:0006417	rpsD
Regulation of translation GO:0006417	rpsH
Regulation of translation GO:0006417	rplD
Regulation of translation GO:0006417	fusA
Regulation of translation GO:0006417	rpsG
Regulation of translation GO:0006417	rpmE
Regulation of translation GO:0006417	rplA
Regulation of translation GO:0006417	rplJ
Regulation of translation GO:0006417	hfq
Regulation of translation GO:0006417	valS
Organelle GO:0043226	rpsT
Organelle GO:0043226	rpsB
Organelle GO:0043226	nusB
Organelle GO:0043226	dnaX
Organelle GO:0043226	holA
Organelle GO:0043226	rpsA
Organelle GO:0043226	topA
Organelle GO:0043226	rplT
Organelle GO:0043226	rpmI
Organelle GO:0043226	rplY
Organelle GO:0043226	rplS
Organelle GO:0043226	rimM
Organelle GO:0043226	rpsP
Organelle GO:0043226	rpsU
Organelle GO:0043226	dnaG
Organelle GO:0043226	rpsO
Organelle GO:0043226	nusA
Organelle GO:0043226	rpmA
Organelle GO:0043226	rplU
Organelle GO:0043226	rpsI
Organelle GO:0043226	rplM
Organelle GO:0043226	mreB
Organelle GO:0043226	rplQ
Organelle GO:0043226	rpoA
Organelle GO:0043226	rpsD
Organelle GO:0043226	rpsK
Organelle GO:0043226	rpsM
Organelle GO:0043226	rpmJ
Organelle GO:0043226	rpmD
Organelle GO:0043226	rplR
Organelle GO:0043226	rplF
Organelle GO:0043226	rpsH
Organelle GO:0043226	rpsN
Organelle GO:0043226	rplX
Organelle GO:0043226	rplN
Organelle GO:0043226	rpsQ
Organelle GO:0043226	rpmC
Organelle GO:0043226	rplP
Organelle GO:0043226	rpsC
Organelle GO:0043226	rplV
Organelle GO:0043226	rpsS
Organelle GO:0043226	rplB
Organelle GO:0043226	rplD
Organelle GO:0043226	rplC
Organelle GO:0043226	rpsJ
Organelle GO:0043226	rpsG
Organelle GO:0043226	rpsL
Organelle GO:0043226	rpmG
Organelle GO:0043226	rpmB
Organelle GO:0043226	gyrB
Organelle GO:0043226	dnaN
Organelle GO:0043226	dnaA
Organelle GO:0043226	rpmH
Organelle GO:0043226	rpmE
Organelle GO:0043226	nusG
Organelle GO:0043226	rplK
Organelle GO:0043226	rplA
Organelle GO:0043226	rplJ
Organelle GO:0043226	rplL
Organelle GO:0043226	rpoC
Organelle GO:0043226	ssb
Organelle GO:0043226	rpsF
Organelle GO:0043226	priB
Organelle GO:0043226	rpsR
Organelle GO:0043226	rplI
Organelle GO:0043226	mgtA
Organelle GO:0043226	dnaC
Proton motive force-driven ATP synthesis GO:0015986	atpC
Proton motive force-driven ATP synthesis GO:0015986	atpD
Proton motive force-driven ATP synthesis GO:0015986	atpG
Proton motive force-driven ATP synthesis GO:0015986	atpA
Proton motive force-driven ATP synthesis GO:0015986	atpH
Proton motive force-driven ATP synthesis GO:0015986	atpE
Proton motive force-driven ATP synthesis GO:0015986	atpB
Small ribosomal subunit rRNA binding GO:0070181	rpsT
Small ribosomal subunit rRNA binding GO:0070181	era
Small ribosomal subunit rRNA binding GO:0070181	rpsO
Small ribosomal subunit rRNA binding GO:0070181	rpsK
Small ribosomal subunit rRNA binding GO:0070181	rpsQ
Small ribosomal subunit rRNA binding GO:0070181	rpsF
Small ribosomal subunit rRNA binding GO:0070181	rpsR
Regulation of cellular macromolecule biosynthetic process GO:2000112	secM
Regulation of cellular macromolecule biosynthetic process GO:2000112	tsf
Regulation of cellular macromolecule biosynthetic process GO:2000112	infA
Regulation of cellular macromolecule biosynthetic process GO:2000112	rpsA
Regulation of cellular macromolecule biosynthetic process GO:2000112	prfA
Regulation of cellular macromolecule biosynthetic process GO:2000112	rplT
Regulation of cellular macromolecule biosynthetic process GO:2000112	infC
Regulation of cellular macromolecule biosynthetic process GO:2000112	thrS
Regulation of cellular macromolecule biosynthetic process GO:2000112	rplY
Regulation of cellular macromolecule biosynthetic process GO:2000112	accD
Regulation of cellular macromolecule biosynthetic process GO:2000112	csrA
Regulation of cellular macromolecule biosynthetic process GO:2000112	thyA
Regulation of cellular macromolecule biosynthetic process GO:2000112	prfB
Regulation of cellular macromolecule biosynthetic process GO:2000112	rpsO
Regulation of cellular macromolecule biosynthetic process GO:2000112	infB
Regulation of cellular macromolecule biosynthetic process GO:2000112	rplM
Regulation of cellular macromolecule biosynthetic process GO:2000112	rpsD
Regulation of cellular macromolecule biosynthetic process GO:2000112	rpsH
Regulation of cellular macromolecule biosynthetic process GO:2000112	rplD
Regulation of cellular macromolecule biosynthetic process GO:2000112	fusA
Regulation of cellular macromolecule biosynthetic process GO:2000112	rpsG
Regulation of cellular macromolecule biosynthetic process GO:2000112	rpmE
Regulation of cellular macromolecule biosynthetic process GO:2000112	rplA
Regulation of cellular macromolecule biosynthetic process GO:2000112	rplJ
Regulation of cellular macromolecule biosynthetic process GO:2000112	hfq
Regulation of cellular macromolecule biosynthetic process GO:2000112	valS
Translation regulator activity, nucleic acid binding GO:0090079	tsf
Translation regulator activity, nucleic acid binding GO:0090079	infA
Translation regulator activity, nucleic acid binding GO:0090079	prfA
Translation regulator activity, nucleic acid binding GO:0090079	rplT
Translation regulator activity, nucleic acid binding GO:0090079	infC
Translation regulator activity, nucleic acid binding GO:0090079	thrS
Translation regulator activity, nucleic acid binding GO:0090079	prfB
Translation regulator activity, nucleic acid binding GO:0090079	infB
Translation regulator activity, nucleic acid binding GO:0090079	rpsD
Translation regulator activity, nucleic acid binding GO:0090079	fusA
Post-transcriptional regulation of gene expression GO:0010608	secM
Post-transcriptional regulation of gene expression GO:0010608	tsf
Post-transcriptional regulation of gene expression GO:0010608	infA
Post-transcriptional regulation of gene expression GO:0010608	rpsA
Post-transcriptional regulation of gene expression GO:0010608	prfA
Post-transcriptional regulation of gene expression GO:0010608	rplT
Post-transcriptional regulation of gene expression GO:0010608	infC
Post-transcriptional regulation of gene expression GO:0010608	thrS
Post-transcriptional regulation of gene expression GO:0010608	rplY
Post-transcriptional regulation of gene expression GO:0010608	accD
Post-transcriptional regulation of gene expression GO:0010608	csrA
Post-transcriptional regulation of gene expression GO:0010608	thyA
Post-transcriptional regulation of gene expression GO:0010608	rppH
Post-transcriptional regulation of gene expression GO:0010608	prfB
Post-transcriptional regulation of gene expression GO:0010608	rpsO
Post-transcriptional regulation of gene expression GO:0010608	infB
Post-transcriptional regulation of gene expression GO:0010608	rplM
Post-transcriptional regulation of gene expression GO:0010608	rpsD
Post-transcriptional regulation of gene expression GO:0010608	rpsH
Post-transcriptional regulation of gene expression GO:0010608	rplD
Post-transcriptional regulation of gene expression GO:0010608	fusA
Post-transcriptional regulation of gene expression GO:0010608	rpsG
Post-transcriptional regulation of gene expression GO:0010608	rpmE
Post-transcriptional regulation of gene expression GO:0010608	rplA
Post-transcriptional regulation of gene expression GO:0010608	rplJ
Post-transcriptional regulation of gene expression GO:0010608	hfq
Post-transcriptional regulation of gene expression GO:0010608	valS
Protein-containing complex organization GO:0043933	dnaK
Protein-containing complex organization GO:0043933	rpsT
Protein-containing complex organization GO:0043933	ftsZ
Protein-containing complex organization GO:0043933	rpsB
Protein-containing complex organization GO:0043933	sdhC
Protein-containing complex organization GO:0043933	sdhD
Protein-containing complex organization GO:0043933	rpsA
Protein-containing complex organization GO:0043933	prs
Protein-containing complex organization GO:0043933	prfA
Protein-containing complex organization GO:0043933	rplT
Protein-containing complex organization GO:0043933	rplY
Protein-containing complex organization GO:0043933	der
Protein-containing complex organization GO:0043933	era
Protein-containing complex organization GO:0043933	rplS
Protein-containing complex organization GO:0043933	rimM
Protein-containing complex organization GO:0043933	rpsP
Protein-containing complex organization GO:0043933	grpE
Protein-containing complex organization GO:0043933	prfB
Protein-containing complex organization GO:0043933	rpsU
Protein-containing complex organization GO:0043933	rpsO
Protein-containing complex organization GO:0043933	nusA
Protein-containing complex organization GO:0043933	rimP
Protein-containing complex organization GO:0043933	rlmE
Protein-containing complex organization GO:0043933	rpmA
Protein-containing complex organization GO:0043933	rplQ
Protein-containing complex organization GO:0043933	rpsD
Protein-containing complex organization GO:0043933	rpsK
Protein-containing complex organization GO:0043933	rpmD
Protein-containing complex organization GO:0043933	rplF
Protein-containing complex organization GO:0043933	rpsH
Protein-containing complex organization GO:0043933	rpsN
Protein-containing complex organization GO:0043933	rplX
Protein-containing complex organization GO:0043933	rpsQ
Protein-containing complex organization GO:0043933	rpmC
Protein-containing complex organization GO:0043933	rplP
Protein-containing complex organization GO:0043933	rpsC
Protein-containing complex organization GO:0043933	rplV
Protein-containing complex organization GO:0043933	rpsS
Protein-containing complex organization GO:0043933	rplB
Protein-containing complex organization GO:0043933	rplC
Protein-containing complex organization GO:0043933	rpsG
Protein-containing complex organization GO:0043933	secB
Protein-containing complex organization GO:0043933	rpmG
Protein-containing complex organization GO:0043933	rpmB
Protein-containing complex organization GO:0043933	yidC
Protein-containing complex organization GO:0043933	ubiD
Protein-containing complex organization GO:0043933	rplK
Protein-containing complex organization GO:0043933	rplA
Protein-containing complex organization GO:0043933	rsgA
Translation repressor activity GO:0030371	rplT
Translation repressor activity GO:0030371	thrS
Translation repressor activity GO:0030371	rpsO
Translation repressor activity GO:0030371	rpsD
Translation repressor activity GO:0030371	rplD
Negative regulation of cellular amide metabolic process GO:0034249	fur
Negative regulation of cellular amide metabolic process GO:0034249	rpsA
Negative regulation of cellular amide metabolic process GO:0034249	rplT
Negative regulation of cellular amide metabolic process GO:0034249	thrS
Negative regulation of cellular amide metabolic process GO:0034249	rplY
Negative regulation of cellular amide metabolic process GO:0034249	accD
Negative regulation of cellular amide metabolic process GO:0034249	csrA
Negative regulation of cellular amide metabolic process GO:0034249	rpsO
Negative regulation of cellular amide metabolic process GO:0034249	rplM
Negative regulation of cellular amide metabolic process GO:0034249	rpsD
Negative regulation of cellular amide metabolic process GO:0034249	rplD
Negative regulation of cellular amide metabolic process GO:0034249	rpsG
Negative regulation of cellular amide metabolic process GO:0034249	rpmE
Negative regulation of cellular amide metabolic process GO:0034249	rplA
Negative regulation of cellular amide metabolic process GO:0034249	rplJ
Non-membrane-bounded organelle GO:0043228	rpsT
Non-membrane-bounded organelle GO:0043228	rpsB
Non-membrane-bounded organelle GO:0043228	dnaX
Non-membrane-bounded organelle GO:0043228	holA
Non-membrane-bounded organelle GO:0043228	rpsA
Non-membrane-bounded organelle GO:0043228	topA
Non-membrane-bounded organelle GO:0043228	rplT
Non-membrane-bounded organelle GO:0043228	rpmI
Non-membrane-bounded organelle GO:0043228	rplY
Non-membrane-bounded organelle GO:0043228	rplS
Non-membrane-bounded organelle GO:0043228	rimM
Non-membrane-bounded organelle GO:0043228	rpsP
Non-membrane-bounded organelle GO:0043228	rpsU
Non-membrane-bounded organelle GO:0043228	dnaG
Non-membrane-bounded organelle GO:0043228	rpsO
Non-membrane-bounded organelle GO:0043228	rpmA
Non-membrane-bounded organelle GO:0043228	rplU
Non-membrane-bounded organelle GO:0043228	rpsI
Non-membrane-bounded organelle GO:0043228	rplM
Non-membrane-bounded organelle GO:0043228	mreB
Non-membrane-bounded organelle GO:0043228	rplQ
Non-membrane-bounded organelle GO:0043228	rpsD
Non-membrane-bounded organelle GO:0043228	rpsK
Non-membrane-bounded organelle GO:0043228	rpsM
Non-membrane-bounded organelle GO:0043228	rpmJ
Non-membrane-bounded organelle GO:0043228	rpmD
Non-membrane-bounded organelle GO:0043228	rplR
Non-membrane-bounded organelle GO:0043228	rplF
Non-membrane-bounded organelle GO:0043228	rpsH
Non-membrane-bounded organelle GO:0043228	rpsN
Non-membrane-bounded organelle GO:0043228	rplX
Non-membrane-bounded organelle GO:0043228	rplN
Non-membrane-bounded organelle GO:0043228	rpsQ
Non-membrane-bounded organelle GO:0043228	rpmC
Non-membrane-bounded organelle GO:0043228	rplP
Non-membrane-bounded organelle GO:0043228	rpsC
Non-membrane-bounded organelle GO:0043228	rplV
Non-membrane-bounded organelle GO:0043228	rpsS
Non-membrane-bounded organelle GO:0043228	rplB
Non-membrane-bounded organelle GO:0043228	rplD
Non-membrane-bounded organelle GO:0043228	rplC
Non-membrane-bounded organelle GO:0043228	rpsJ
Non-membrane-bounded organelle GO:0043228	rpsG
Non-membrane-bounded organelle GO:0043228	rpsL
Non-membrane-bounded organelle GO:0043228	rpmG
Non-membrane-bounded organelle GO:0043228	rpmB
Non-membrane-bounded organelle GO:0043228	gyrB
Non-membrane-bounded organelle GO:0043228	dnaN
Non-membrane-bounded organelle GO:0043228	dnaA
Non-membrane-bounded organelle GO:0043228	rpmH
Non-membrane-bounded organelle GO:0043228	rpmE
Non-membrane-bounded organelle GO:0043228	rplK
Non-membrane-bounded organelle GO:0043228	rplA
Non-membrane-bounded organelle GO:0043228	rplJ
Non-membrane-bounded organelle GO:0043228	rplL
Non-membrane-bounded organelle GO:0043228	ssb
Non-membrane-bounded organelle GO:0043228	rpsF
Non-membrane-bounded organelle GO:0043228	priB
Non-membrane-bounded organelle GO:0043228	rpsR
Non-membrane-bounded organelle GO:0043228	rplI
Non-membrane-bounded organelle GO:0043228	dnaC
Protein-containing complex assembly GO:0065003	dnaK
Protein-containing complex assembly GO:0065003	rpsT
Protein-containing complex assembly GO:0065003	ftsZ
Protein-containing complex assembly GO:0065003	rpsB
Protein-containing complex assembly GO:0065003	sdhC
Protein-containing complex assembly GO:0065003	sdhD
Protein-containing complex assembly GO:0065003	rpsA
Protein-containing complex assembly GO:0065003	prs
Protein-containing complex assembly GO:0065003	rplT
Protein-containing complex assembly GO:0065003	rplY
Protein-containing complex assembly GO:0065003	der
Protein-containing complex assembly GO:0065003	era
Protein-containing complex assembly GO:0065003	rplS
Protein-containing complex assembly GO:0065003	rimM
Protein-containing complex assembly GO:0065003	rpsP
Protein-containing complex assembly GO:0065003	grpE
Protein-containing complex assembly GO:0065003	rpsU
Protein-containing complex assembly GO:0065003	rpsO
Protein-containing complex assembly GO:0065003	nusA
Protein-containing complex assembly GO:0065003	rimP
Protein-containing complex assembly GO:0065003	rlmE
Protein-containing complex assembly GO:0065003	rpmA
Protein-containing complex assembly GO:0065003	rplQ
Protein-containing complex assembly GO:0065003	rpsD
Protein-containing complex assembly GO:0065003	rpsK
Protein-containing complex assembly GO:0065003	rpmD
Protein-containing complex assembly GO:0065003	rplF
Protein-containing complex assembly GO:0065003	rpsH
Protein-containing complex assembly GO:0065003	rpsN
Protein-containing complex assembly GO:0065003	rplX
Protein-containing complex assembly GO:0065003	rpsQ
Protein-containing complex assembly GO:0065003	rpmC
Protein-containing complex assembly GO:0065003	rplP
Protein-containing complex assembly GO:0065003	rpsC
Protein-containing complex assembly GO:0065003	rplV
Protein-containing complex assembly GO:0065003	rpsS
Protein-containing complex assembly GO:0065003	rplB
Protein-containing complex assembly GO:0065003	rplC
Protein-containing complex assembly GO:0065003	rpsG
Protein-containing complex assembly GO:0065003	secB
Protein-containing complex assembly GO:0065003	rpmG
Protein-containing complex assembly GO:0065003	rpmB
Protein-containing complex assembly GO:0065003	yidC
Protein-containing complex assembly GO:0065003	ubiD
Protein-containing complex assembly GO:0065003	rplK
Protein-containing complex assembly GO:0065003	rplA
Protein-containing complex assembly GO:0065003	rsgA
Negative regulation of cellular macromolecule biosynthetic process GO:2000113	rpsA
Negative regulation of cellular macromolecule biosynthetic process GO:2000113	rplT
Negative regulation of cellular macromolecule biosynthetic process GO:2000113	thrS
Negative regulation of cellular macromolecule biosynthetic process GO:2000113	rplY
Negative regulation of cellular macromolecule biosynthetic process GO:2000113	accD
Negative regulation of cellular macromolecule biosynthetic process GO:2000113	csrA
Negative regulation of cellular macromolecule biosynthetic process GO:2000113	rpsO
Negative regulation of cellular macromolecule biosynthetic process GO:2000113	rplM
Negative regulation of cellular macromolecule biosynthetic process GO:2000113	rpsD
Negative regulation of cellular macromolecule biosynthetic process GO:2000113	rplD
Negative regulation of cellular macromolecule biosynthetic process GO:2000113	rpsG
Negative regulation of cellular macromolecule biosynthetic process GO:2000113	rpmE
Negative regulation of cellular macromolecule biosynthetic process GO:2000113	rplA
Negative regulation of cellular macromolecule biosynthetic process GO:2000113	rplJ
Organelle organization GO:0006996	rpsT
Organelle organization GO:0006996	rpsB
Organelle organization GO:0006996	rpsA
Organelle organization GO:0006996	topA
Organelle organization GO:0006996	rplT
Organelle organization GO:0006996	infC
Organelle organization GO:0006996	rplY
Organelle organization GO:0006996	der
Organelle organization GO:0006996	era
Organelle organization GO:0006996	rplS
Organelle organization GO:0006996	rimM
Organelle organization GO:0006996	rpsP
Organelle organization GO:0006996	rpsU
Organelle organization GO:0006996	dnaG
Organelle organization GO:0006996	rpsO
Organelle organization GO:0006996	rimP
Organelle organization GO:0006996	rlmE
Organelle organization GO:0006996	obgE
Organelle organization GO:0006996	rpmA
Organelle organization GO:0006996	rplQ
Organelle organization GO:0006996	rpoA
Organelle organization GO:0006996	rpsD
Organelle organization GO:0006996	rpsK
Organelle organization GO:0006996	rpmD
Organelle organization GO:0006996	rplF
Organelle organization GO:0006996	rpsH
Organelle organization GO:0006996	rpsN
Organelle organization GO:0006996	rplX
Organelle organization GO:0006996	rpsQ
Organelle organization GO:0006996	rpmC
Organelle organization GO:0006996	rplP
Organelle organization GO:0006996	rpsC
Organelle organization GO:0006996	rplV
Organelle organization GO:0006996	rpsS
Organelle organization GO:0006996	rplB
Organelle organization GO:0006996	rplD
Organelle organization GO:0006996	rplC
Organelle organization GO:0006996	fusA
Organelle organization GO:0006996	rpsG
Organelle organization GO:0006996	rpmG
Organelle organization GO:0006996	rpmB
Organelle organization GO:0006996	gyrB
Organelle organization GO:0006996	dnaA
Organelle organization GO:0006996	rplK
Organelle organization GO:0006996	rplA
Organelle organization GO:0006996	rpoC
Organelle organization GO:0006996	rsgA
Organelle organization GO:0006996	priB
Organelle organization GO:0006996	dnaC
RNA binding GO:0003723	rpsT
RNA binding GO:0003723	nusB
RNA binding GO:0003723	infA
RNA binding GO:0003723	rpsA
RNA binding GO:0003723	tyrS
RNA binding GO:0003723	pheT
RNA binding GO:0003723	pheS
RNA binding GO:0003723	rplT
RNA binding GO:0003723	infC
RNA binding GO:0003723	thrS
RNA binding GO:0003723	rplY
RNA binding GO:0003723	accD
RNA binding GO:0003723	gltX
RNA binding GO:0003723	era
RNA binding GO:0003723	rnc
RNA binding GO:0003723	rplS
RNA binding GO:0003723	rimM
RNA binding GO:0003723	ffh
RNA binding GO:0003723	csrA
RNA binding GO:0003723	alaS
RNA binding GO:0003723	thyA
RNA binding GO:0003723	rpsU
RNA binding GO:0003723	rpsO
RNA binding GO:0003723	nusA
RNA binding GO:0003723	obgE
RNA binding GO:0003723	rpmA
RNA binding GO:0003723	rplU
RNA binding GO:0003723	rpsI
RNA binding GO:0003723	rplM
RNA binding GO:0003723	rpsD
RNA binding GO:0003723	rpsK
RNA binding GO:0003723	rpsM
RNA binding GO:0003723	rplR
RNA binding GO:0003723	rplF
RNA binding GO:0003723	rpsH
RNA binding GO:0003723	rpsN
RNA binding GO:0003723	rplX
RNA binding GO:0003723	rplN
RNA binding GO:0003723	rpsQ
RNA binding GO:0003723	rpmC
RNA binding GO:0003723	rplP
RNA binding GO:0003723	rpsC
RNA binding GO:0003723	rplV
RNA binding GO:0003723	rpsS
RNA binding GO:0003723	rplB
RNA binding GO:0003723	rplD
RNA binding GO:0003723	rplC
RNA binding GO:0003723	rpsJ
RNA binding GO:0003723	rpsG
RNA binding GO:0003723	rpsL
RNA binding GO:0003723	rpmG
RNA binding GO:0003723	rpmB
RNA binding GO:0003723	rnpA
RNA binding GO:0003723	rpmE
RNA binding GO:0003723	rplK
RNA binding GO:0003723	rplA
RNA binding GO:0003723	rplJ
RNA binding GO:0003723	rplL
RNA binding GO:0003723	rsgA
RNA binding GO:0003723	hfq
RNA binding GO:0003723	rpsF
RNA binding GO:0003723	rpsR
RNA binding GO:0003723	rplI
Translation release factor activity, codon specific GO:0016149	prfA
Translation release factor activity, codon specific GO:0016149	prfB
Establishment of protein localization to endoplasmic reticulum GO:0072599	ffh
Establishment of protein localization to endoplasmic reticulum GO:0072599	secG
Establishment of protein localization to endoplasmic reticulum GO:0072599	secY
Establishment of protein localization to endoplasmic reticulum GO:0072599	ftsY
Establishment of protein localization to endoplasmic reticulum GO:0072599	secE
Respirasome GO:0070469	cyoA
Respirasome GO:0070469	sdhC
Respirasome GO:0070469	sdhA
Respirasome GO:0070469	nuoN
Respirasome GO:0070469	nuoM
Respirasome GO:0070469	nuoL
Respirasome GO:0070469	nuoK
Respirasome GO:0070469	nuoJ
Respirasome GO:0070469	nuoI
Respirasome GO:0070469	nuoH
Respirasome GO:0070469	nuoG
Respirasome GO:0070469	nuoF
Respirasome GO:0070469	nuoE
Respirasome GO:0070469	nuoC
Respirasome GO:0070469	nuoB
Respirasome GO:0070469	nuoA
Negative regulation of translational initiation GO:0045947	thrS
Negative regulation of translational initiation GO:0045947	csrA
Negative regulation of translational initiation GO:0045947	rpsD
Negative regulation of translational initiation GO:0045947	rpmE
Negative regulation of translational initiation GO:0045947	rplA
Oxoglutarate dehydrogenase complex GO:0045252	lpd
Oxoglutarate dehydrogenase complex GO:0045252	sucA
Oxoglutarate dehydrogenase complex GO:0045252	sucB
Electron transport coupled proton transport GO:0015990	cyoD
Electron transport coupled proton transport GO:0015990	cyoA
Electron transport coupled proton transport GO:0015990	nuoN
Electron transport coupled proton transport GO:0015990	nuoM
Electron transport coupled proton transport GO:0015990	nuoL
Electron transport coupled proton transport GO:0015990	nuoB
Cellular component disassembly GO:0022411	dnaK
Cellular component disassembly GO:0022411	prfA
Cellular component disassembly GO:0022411	infC
Cellular component disassembly GO:0022411	prfB
Cellular component disassembly GO:0022411	fusA
Cellular component disassembly GO:0022411	rplK
Proton-transporting ATPase activity, rotational mechanism GO:0046961	atpD
Proton-transporting ATPase activity, rotational mechanism GO:0046961	atpG
Proton-transporting ATPase activity, rotational mechanism GO:0046961	atpA
Proton-transporting ATPase activity, rotational mechanism GO:0046961	atpH
Proton-transporting ATPase activity, rotational mechanism GO:0046961	atpE
Translation factor activity, RNA binding GO:0008135	tsf
Translation factor activity, RNA binding GO:0008135	infA
Translation factor activity, RNA binding GO:0008135	prfA
Translation factor activity, RNA binding GO:0008135	infC
Translation factor activity, RNA binding GO:0008135	prfB
Translation factor activity, RNA binding GO:0008135	infB
Translation factor activity, RNA binding GO:0008135	fusA
Intracellular organelle lumen GO:0070013	nusB
Intracellular organelle lumen GO:0070013	nusA
Intracellular organelle lumen GO:0070013	rpoA
Intracellular organelle lumen GO:0070013	rpsJ
Intracellular organelle lumen GO:0070013	nusG
Intracellular organelle lumen GO:0070013	rpoC
Regulation of translational initiation GO:0006446	thrS
Regulation of translational initiation GO:0006446	csrA
Regulation of translational initiation GO:0006446	rpsD
Regulation of translational initiation GO:0006446	rpmE
Regulation of translational initiation GO:0006446	rplA
Polysomal ribosome GO:0042788	rplV
Polysomal ribosome GO:0042788	rplD
Respiratory chain complex GO:0098803	sdhC
Respiratory chain complex GO:0098803	sdhA
Respiratory chain complex GO:0098803	nuoN
Respiratory chain complex GO:0098803	nuoM
Respiratory chain complex GO:0098803	nuoL
Respiratory chain complex GO:0098803	nuoK
Respiratory chain complex GO:0098803	nuoJ
Respiratory chain complex GO:0098803	nuoI
Respiratory chain complex GO:0098803	nuoH
Respiratory chain complex GO:0098803	nuoG
Respiratory chain complex GO:0098803	nuoF
Respiratory chain complex GO:0098803	nuoE
Respiratory chain complex GO:0098803	nuoC
Respiratory chain complex GO:0098803	nuoB
Respiratory chain complex GO:0098803	nuoA
DNA-templated transcription, termination GO:0006353	nusB
DNA-templated transcription, termination GO:0006353	nusA
DNA-templated transcription, termination GO:0006353	rpsD
DNA-templated transcription, termination GO:0006353	rplD
DNA-templated transcription, termination GO:0006353	nusG
Translational initiation GO:0006413	infA
Translational initiation GO:0006413	infC
Translational initiation GO:0006413	infB
Translational initiation GO:0006413	rpmE
aminoacyl-tRNA metabolism involved in translational fidelity GO:0106074	proS
aminoacyl-tRNA metabolism involved in translational fidelity GO:0106074	leuS
aminoacyl-tRNA metabolism involved in translational fidelity GO:0106074	thrS
aminoacyl-tRNA metabolism involved in translational fidelity GO:0106074	alaS
aminoacyl-tRNA metabolism involved in translational fidelity GO:0106074	valS
Negative regulation of gene expression GO:0010629	rpsA
Negative regulation of gene expression GO:0010629	rplT
Negative regulation of gene expression GO:0010629	thrS
Negative regulation of gene expression GO:0010629	rplY
Negative regulation of gene expression GO:0010629	accD
Negative regulation of gene expression GO:0010629	csrA
Negative regulation of gene expression GO:0010629	rppH
Negative regulation of gene expression GO:0010629	rpsO
Negative regulation of gene expression GO:0010629	rplM
Negative regulation of gene expression GO:0010629	rpsD
Negative regulation of gene expression GO:0010629	rplD
Negative regulation of gene expression GO:0010629	rpsG
Negative regulation of gene expression GO:0010629	rpmE
Negative regulation of gene expression GO:0010629	rplA
Negative regulation of gene expression GO:0010629	rplJ
Negative regulation of gene expression GO:0010629	hfq
Quinone binding GO:0048038	sdhC
Quinone binding GO:0048038	nuoN
Quinone binding GO:0048038	nuoM
Quinone binding GO:0048038	nuoL
Quinone binding GO:0048038	nuoK
Quinone binding GO:0048038	nuoJ
Quinone binding GO:0048038	nuoI
Quinone binding GO:0048038	nuoH
Quinone binding GO:0048038	nuoG
Quinone binding GO:0048038	nuoF
Quinone binding GO:0048038	nuoE
Quinone binding GO:0048038	nuoC
Quinone binding GO:0048038	nuoB
Quinone binding GO:0048038	nuoA
Proton-transporting ATP synthase complex, catalytic core F(1) GO:0045261	atpC
Proton-transporting ATP synthase complex, catalytic core F(1) GO:0045261	atpD
Proton-transporting ATP synthase complex, catalytic core F(1) GO:0045261	atpG
Proton-transporting ATP synthase complex, catalytic core F(1) GO:0045261	atpA
Proton-transporting ATP synthase complex, catalytic core F(1) GO:0045261	atpH
Proton channel activity GO:0015252	atpC
Proton channel activity GO:0015252	atpD
Proton channel activity GO:0015252	atpG
Proton channel activity GO:0015252	atpA
Proton channel activity GO:0015252	atpH
Proton channel activity GO:0015252	atpE
Proton channel activity GO:0015252	atpB
Gene expression GO:0010467	rpsT
Gene expression GO:0010467	rsmH
Gene expression GO:0010467	rpsB
Gene expression GO:0010467	tsf
Gene expression GO:0010467	proS
Gene expression GO:0010467	nusB
Gene expression GO:0010467	cysS
Gene expression GO:0010467	leuS
Gene expression GO:0010467	glnS
Gene expression GO:0010467	infA
Gene expression GO:0010467	serS
Gene expression GO:0010467	rpsA
Gene expression GO:0010467	asnS
Gene expression GO:0010467	prfA
Gene expression GO:0010467	dicA
Gene expression GO:0010467	tyrS
Gene expression GO:0010467	pheT
Gene expression GO:0010467	pheS
Gene expression GO:0010467	rplT
Gene expression GO:0010467	rpmI
Gene expression GO:0010467	infC
Gene expression GO:0010467	thrS
Gene expression GO:0010467	aspS
Gene expression GO:0010467	argS
Gene expression GO:0010467	rplY
Gene expression GO:0010467	gltX
Gene expression GO:0010467	hisS
Gene expression GO:0010467	hscA
Gene expression GO:0010467	rnc
Gene expression GO:0010467	rpoE
Gene expression GO:0010467	rplS
Gene expression GO:0010467	rimM
Gene expression GO:0010467	rpsP
Gene expression GO:0010467	alaS
Gene expression GO:0010467	rpoS
Gene expression GO:0010467	rppH
Gene expression GO:0010467	prfB
Gene expression GO:0010467	rpsU
Gene expression GO:0010467	rpoD
Gene expression GO:0010467	rpsO
Gene expression GO:0010467	infB
Gene expression GO:0010467	nusA
Gene expression GO:0010467	rimP
Gene expression GO:0010467	rlmE
Gene expression GO:0010467	rpmA
Gene expression GO:0010467	rplU
Gene expression GO:0010467	rpsI
Gene expression GO:0010467	rplM
Gene expression GO:0010467	rplQ
Gene expression GO:0010467	rpoA
Gene expression GO:0010467	rpsD
